"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13645364;2023-10-09;4752;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"CARLA";"5.101  ";2;195,56
13646009;2023-09-29;1742;56;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"JOãO PAULO MOMM DA SILVA";"5.101  ";2;144,25
13646322;2023-10-02;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;486,91
13646360;2023-10-02;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"ANA PAULA";"5.101  ";2;195,56
13646854;2023-10-02;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GERVASIO";"5.101  ";2;333,5
13647464;2023-09-29;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SANDY";"5.101  ";2;595,56
13647532;2023-09-29;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SANDY";"5.101  ";2;154,67
13649344;2023-10-02;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;397,5
13649446;2023-09-29;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MARCELO";"5.101  ";2;795
13649455;2023-09-29;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MARCELO";"5.101  ";2;249,63
13649479;2023-09-29;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MARCELO";"5.101  ";2;795
13649495;2023-09-29;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MARCELO";"5.101  ";2;249,63
13651071;2023-10-02;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;397,5
13652589;2023-10-04;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;554,07
13652677;2023-10-10;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;210,45
13653374;2023-10-06;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE ";"5.101  ";2;486,91
13653518;2023-10-06;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"VINICIOS";"5.101  ";2;714,67
13653519;2023-10-13;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"VINICIOS";"5.101  ";2;249,76
13653819;2023-10-05;4752;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CARLA";"5.101  ";2;667
13653834;2023-10-05;4752;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CARLA";"5.101  ";2;234,2
13653962;2023-10-04;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"CAMILA";"5.101  ";2;997,2
13653983;2023-10-03;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2362        ";0;"VARILUX XR DESIGN ORMA XPERIO MARROM";"CAMILA";"5.102  ";2;187,55
13654153;2023-10-05;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"GERVASIO";"5.101  ";2;379,5
13654165;2023-10-05;4752;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"CARLA";"5.101  ";2;759
13654177;2023-10-05;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"GERVASIO";"5.101  ";2;759
13654339;2023-10-04;314;31;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ROGERIO";"5.101  ";2;198,95
13654447;2023-10-03;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KIM-MARINILZA ";"5.101  ";2;715,5
13654454;2023-10-06;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"KIM-MARINILZA ";"5.101  ";2;204,24
13654490;2023-10-06;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;554,07
13654873;2023-10-09;1318;;"SETOR 5 - BLUMENAU - VALE";"LD2367        ";0;"VARILUX XR DESIGN AIRWEAR XPERIO MARROM";"KETTRIN";"5.101  ";2;239,88
13654973;2023-10-04;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;354,5
13655441;2023-10-10;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2374        ";0;"VARILUX XR DESIGN STY 1.74 BLUE UV";"KIM-NORMELIA";"5.102  ";2;191,48
13655945;2023-10-05;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"KEILA";"5.101  ";2;801
13655959;2023-10-06;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"KEILA";"5.101  ";2;199,96
13656512;2023-10-05;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13657817;2023-10-06;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAELA";"5.101  ";2;333,5
13658101;2023-10-06;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2491        ";0;"VARILUX XR PRO AIRWEAR COLOR";"MARCIO";"5.101  ";2;230,09
13659163;2023-10-09;213;;"SETOR 2 - CRICIUMA - SUL";"LD2372        ";0;"VARILUX XR DESIGN STYLIS 1.67 BLUE UV";"CRISTINA";"5.101  ";2;1485
13659220;2023-10-09;213;;"SETOR 2 - CRICIUMA - SUL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"CRISTINA";"5.101  ";2;118,55
13659454;2023-10-06;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13659488;2023-10-06;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13659777;2023-10-06;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CAMILA";"5.101  ";2;638,1
13659823;2023-10-06;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CAMILA";"5.101  ";2;160,84
13659993;2023-10-09;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE ";"5.101  ";2;486,91
13660218;2023-10-10;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"GISELE ";"5.101  ";2;190,26
13660811;2023-10-10;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2400        ";0;"VARILUX XR TRACK STYLIS 1.67 BLUE UV";"JONAS - JANE";"5.101  ";2;187,64
13661051;2023-10-09;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"RAFAELA";"5.101  ";2;979
13661083;2023-10-09;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"RAFAELA";"5.101  ";2;161,87
13662213;2023-10-10;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"KEILA";"5.101  ";2;801
