"";"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"PEDAUTORIZOU";"QTD";"VRVENDA";"BONUS"
"96";13395494;2023-06-12;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0085        ";"VARILUX E DESIGN ORMA TGEN8 CINZA";"GERVASIO";2;482,65;100
"97";13396708;2023-06-09;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1533        ";"ESSILOR EYEZEN START AIR TGEN8 CINZA";"ALESSANDRA";2;738,72;50
"98";13396775;2023-06-07;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;360,93;50
"99";13397063;2023-06-07;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"PAMELA";2;422,97;50
"100";13397252;2023-06-13;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1279        ";"VARILUX COMFORT MAX ORM TGEN8 VER";"STEFANIE";2;818,74;70
"101";13397453;2023-06-06;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"CLEIZE";2;422,97;50
"102";13397745;2023-06-07;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"ELIANE";2;926,16;70
"103";13398680;2023-06-12;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0491        ";"VARILUX X DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";2;1222,2;100
"104";13400474;2023-06-12;1752;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"TERE";2;730,5;60
"105";13400752;2023-06-12;1752;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"TERE";2;730,5;60
"106";13400862;2023-06-14;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0287        ";"VARILUX LIBERTY AIRWEAR TGEN8 CINZA";"PAMELA";2;864,88;60
"107";13401602;2023-06-09;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"108";13401673;2023-06-09;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"GERVASIO";2;700,2;50
"109";13401953;2023-06-09;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"GERVASIO";2;702,1;70
"110";13402779;2023-06-12;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1636        ";"KODAK PRECISE UHD 1.67 TGEN8 CINZA";"NATTAHCHA ";2;1001,25;50
"111";13402838;2023-06-14;3338;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"3338 ";2;762,52;70
"112";13404827;2023-06-15;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"GIOVANA";2;740,24;60
"113";13406192;2023-06-14;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"BRUNA";2;912,54;70
"114";13406393;2023-06-14;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"KAYO";2;953,4;70
"115";13407214;2023-06-13;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"116";13408428;2023-06-13;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"DAIANA";2;802,4;70
"117";13408587;2023-06-13;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"GERVASIO";2;855,4;70
"118";13408817;2023-06-15;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0080        ";"VARILUX E DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";2;1047,9;100
